Longitude,Latitude,Hotel Name
"-0,17014","51,54179", GB-London Marriott Regents Park
"-0,32124","51,74207", GB-St Albans
"-0,19651","51,49229", GB-Garden Court Hotel
"-0,22223","51,49941", GB-Batoum Lodge Hotel
"-0,38212","51,8764", GB-Ibis-London Luton
"-0,17028","51,11386", GB-Express By Holiday Inn
"-0,1599","51,51522", GB-Palace Hotel
"-0,16305","51,5016", GB-Knightsbridge Green
"-0,18846","51,51285", GB-Phoenix Hotel
"-0,19459","51,4919", GB-Grand Tourist Hotel
"-0,2112","51,42008", GB-Justin James Hotel
"-0,441","51,45847", GB-Hilton-London Heathrow
"-0,13039","51,52686", GB-Hilton London Euston
"-0,1899","51,49374", GB-Silver Fern
"-0,0754","51,37924", GB-Freshford Hotel
"0,06836","51,56023", GB-Kinross Hotel
"-0,16408","51,49798", GB-Claverley
"-0,3844","51,69049", GB-Watford
"-0,15698","51,15683", GB-Hilton-London Gatwick
"-0,15806","51,51812", GB-Hart House
"-0,15008","51,50419", GB-Four Seasons
"-0,18389","51,50035", GB-Kensington Palace
"-0,15268","51,23584", GB-Hunters Lodge
"-0,06782","51,10721", GB-Alexander House
"-0,1525","51,50729", GB-The Dorchester
"0,04639","51,57647", GB-Ilford
"-0,10022","51,52015", GB-Lindsey Hotel
"-0,13829","51,49046", GB-Huttons Hotel
"0,06615","51,56636", GB-Rossmore Hotel
"-0,57131","51,50406", GB-Skyways Hotel
"-0,42616","51,67856", GB-The Grove
"-0,19629","51,49174", GB-Twenty Nevern Square Hotel
"-0,21658","51,92351", GB-Premier Travel Inn
"-0,38079","51,87676", GB-London - Luton Airport
"-0,1937","51,49074", GB-Lord Jim
"0,26935","51,47639", GB-London Thurrock
"-0,2123","51,50141", GB-Hotel 128
"-0,17215","51,51575", GB-Royal Cambridge Hotel
"-0,18115","51,49583", GB-Strathmore Hotel
"-0,30507","51,48368", GB-Brentford
"-0,26958","51,48167", GB-Grove Park Hotel
"-0,13971","51,50559", GB-Dukes Hotel
"0,00227","51,66842", GB-Premier Travel Inn
"-0,10237","51,56596", GB-Queens Hotel
"-0,20761","51,49685", GB-Thames Hotel
"-0,14998","51,50382", GB-Hotel Inter-Continental
"-0,12451","51,50579", GB-Thistle
"-0,45916","51,29976", GB-Hautboy
"-0,08636","51,13876", GB-Effingham Park London
"-0,06916","51,36271", GB-Premier Travel Inn
"-0,27196","51,32829", GB-Premier Travel Inn
"-0,17761","51,51152", GB-Plaza On Hyde Park
"-0,15904","51,49717", GB-Cadogan
"0,16725","51,91887", GB-Yew Tree Inn
"-0,19927","51,48616", GB-Ibis London Earls Court
"-0,2361","51,16522", GB-Stanhill Court
"-0,46846","51,89293", GB-Travelodge
"-0,15325","51,51788", GB-Durrants
"-0,1404","51,50565", GB-Stafford
"-0,42711","51,96764", GB-Bull Hotel
"-0,17845","51,51307", GB-Paddington Court Hotel & Suites
"-0,20522","51,54447", GB-Bishops Lodge Hotel
"-0,14181","51,49344", GB-London - Victoria
"-0,56487","51,23906", GB-Carlton
"-0,16046","51,50186", GB-Mandarin Oriental Hyde Park
"0,26582","51,45156", GB-Travelodge
"-0,08158","51,52626", GB-London City
"0,06535","51,56759", GB-Park Hotel
"-0,17122","51,54849", GB-Dillons Hotel
"-0,19337","51,57064", GB-Anchor Hotel
"-0,19715","51,51137", GB-Hotel Slavia
